¶‘[LogSystem]System.Void DBData`1::Load(Integer64):62(1)
[Utility::Format]System.Void ChatMainView::OnClickBagItem(PlayerPackage/ClientItem):1771(1)
[Utility::Format][System.Int32]System.Void ChatMainView::OnClickBagItem(PlayerPackage/ClientItem):1777(1)
[String::Concat]System.Void ChatMainView::OnClickBagItem(PlayerPackage/ClientItem):1788(3)
[String::Concat][System.Int32]System.Void ChatMainView::OnClickBagItem(PlayerPackage/ClientItem):1793(3)
[none]System.Void ChatMainView::.ctor():141(1)
[none]System.Void ChooseDialogView::.ctor():19(1)
[none]System.Void ChooseDialogView::.ctor():20(1)
[none]System.Void ChooseDialogView::.ctor():21(1)
[none]System.Void ChooseDialogView::.ctor():22(1)
[Utility::Format][System.Int32]System.Void BSJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):49(1)
[Utility::Format][System.Int32]System.Void BSJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):53(1)
[Utility::Format][System.Int32]System.Void BSJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):64(1)
[none]System.Void BSJieguoTipView::setData():82(1)
[none]System.Void CommonBuyDialog::.ctor():41(1)
[none]System.Void DaochangDifangXueliangView::SetData(MessageDefine.QSCMD_COPY_SCENE_USER_INFOSC):48(1)
[String::Concat][System.Int32]System.Void DengluMainView::UpdateDeleteRoleCD():895(1)
[none]System.Void EmitInfoView::.ctor():235(1)
[none]System.Void EquipFormView::StartupFGUI():138(1)
[none]System.Void EquipFormView::InitComboBox():175(1)
[none]System.Void EquipFormView::InitComboBox():176(1)
[Utility::Format][System.Int32]System.Void EquipFormView::UpdateEquipDetails(PlayerPackage/ClientItem):409(1)
[Utility::Format][System.Int32]System.Void EquipFormView::UpdateEquipDetails(PlayerPackage/ClientItem):413(1)
[Utility::Format][System.Int32]System.Void EquipFormView::UpdateEquipDetails(PlayerPackage/ClientItem):425(1)
[none]System.Void FairyGUIModelView::AddLight():41(1)
[Utility::Format]System.Void FgGmView::setCurrentTime(System.Boolean):203(1)
[none]System.Boolean FgGmView::analyseAllCommands(System.String):431(1)
[String::Concat]System.Void FgGmView::flyTime():525(1)
[none]System.Void FgGmView::analyseCommand(System.String,System.Boolean,System.Boolean):541(1)
[none]System.Void FgGmView::analyseCommand(System.String,System.Boolean,System.Boolean):573(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):656(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):659(1)
[Utility::Format][System.Int32]System.Boolean FgGmView::analysedLocalCommand(System.String):673(1)
[LogSystem]System.Boolean FgGmView::analysedLocalCommand(System.String):683(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):688(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):714(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):732(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):747(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):753(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):785(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):792(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):800(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):808(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):852(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):862(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):870(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):877(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):886(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):911(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):929(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):960(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):966(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):980(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1029(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1097(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1103(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1110(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1116(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1127(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1172(1)
[GfxStorySystem::SendMessage]System.Boolean FgGmView::analysedLocalCommand(System.String):1194(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1214(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1234(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1241(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1272(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1275(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1311(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1319(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1332(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1366(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1376(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1423(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1451(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1456(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1524(1)
[none]System.Boolean FgGmView::analysedLocalCommand(System.String):1571(1)
[none]System.Int32 FGItemIconView::get_QHLevel():1239(1)
[LogSystem][System.Int32]System.Void FGItemIconViewModel::.ctor(System.Int32):1570(1)
[LogSystem]System.Void FriendPresentGiveView::FreshPresent():327(1)
[String::Concat][System.Int32]System.Void GoodsItemView::SetGoodsTime():201(1)
[String::Concat][System.Int32]System.Void GoodsItemView::SetGoodsTime():206(1)
[none]System.Void GuanqiaNameView::SetTransition():57(1)
[none]System.Void GuanqiaNameView::SetTransition():58(1)
[none]System.Void GuanqiaNameView::SetTransition():62(1)
[none]System.Void GuanqiaNameView::SetTransition():63(1)
[Utility::Format][System.Int32]System.Void GuidKaiqiView::freshTick():123(1)
[none]System.Void GuidMaskView::setOpenContent(System.String,System.String,System.String):548(1)
[none]System.Void GuidWeekView::setOpenContent(System.String,System.String,System.String):66(1)
[String::Concat][System.Int32]System.Void HaoyouLianxirenView::UpdateLianxirenList():139(1)
[String::Concat][System.Int32]System.Void HaoyouLianxirenView::UpdateLianxirenList():163(1)
[Utility::Format][System.Int32]System.Void HuodongMainView::UpdateHuoDongList():441(1)
[Utility::Format][System.Int32]System.Void HuodongMainView::UpdateHuoDongList():472(1)
[none]System.Void HuodongMainView::OnGotoBtnClick(FairyGUI.EventContext):784(1)
[none]System.Void HuodongMainView::.ctor():30(1)
[none]System.Void HuodongMainView::.ctor():31(1)
[none]System.Void HuodongTipXiangqingView::ShowHuodongTip(System.Int32,System.String,System.Boolean):81(1)
[none]System.Void HuodongTipXiangqingView::ShowHuodongTip(System.Int32,System.String,System.Boolean):82(1)
[none]System.Void HuodongTipXiangqingView::ShowHuodongTip(System.Int32,System.String,System.Boolean):90(1)
[String::Concat]System.Void HuodongTipXiangqingView::ShowHuodongTip(System.Int32,System.String,System.Boolean):108(1)
[String::Concat][System.Int32]System.Void HuodongTipXiangqingView::ShowHuodongTip(System.Int32,System.String,System.Boolean):111(1)
[none]System.Void GobalLittleKeyboardView::.ctor():27(1)
[none]System.Void LittleKeyBoardView::.ctor():167(1)
[none]System.Void MeiriqiandaoView::.ctor():25(1)
[none]System.Void MeiriqiandaoView::.ctor():26(1)
[none]System.Void MeiriqiandaoView::.ctor():30(1)
[LogSystem]System.Void NewMountView::OnCreateView(CsLibrary.EntityViewModel,MessageDefine.stVehicle,TableConfig.MountInfo,CsLibrary.EntityInfo):719(1)
[none]System.Void NewFashionView::.ctor(FairyGUI.GComponent):892(1)
[Utility::Format]System.Void MountView::OnSelectMount(System.Int32):288(1)
[none]System.Void MPJJRankView::buildMenuWithData(System.Collections.Generic.List`1<FairyGUI.TreeNode>,TableConfig.MPJJRankMenu):707(1)
[none]System.Void SwordGuideView::StartupFGUI():77(1)
[none]System.Void SwordGuideView::StartupFGUI():78(1)
[none]System.Void TransferSkillView::StartupFGUI():40(1)
[String::Concat][System.Int32]System.Void TransferSkillView::setData(System.Int32):98(1)
[String::Concat][System.Int32]System.Void TransferSkillView::setData(System.Int32):121(1)
[String::Concat][System.Int32]System.String GoodOpinion::GetShuxingValue(TableConfig.XiakeAttrAdd,TableConfig.XiakeAttrAdd):706(1)
[String::Concat][System.Int32]System.String GoodOpinion::GetShuxingValue(TableConfig.XiakeAttrAdd,TableConfig.XiakeAttrAdd):723(1)
[String::Concat][System.Int32]System.String GoodOpinion::GetShuxingValue(TableConfig.XiakeAttrAdd,TableConfig.XiakeAttrAdd):737(1)
[String::Concat]System.Void GoodOpinion::Skill():836(1)
[Utility::Format]System.Void GoodOpinion::callBackWithModel(FGItemIconViewModel):1095(1)
[none]System.Void Disposition::.ctor(FairyGUI.GComponent,System.Int32):1169(1)
[none]System.Void NPCDialogNewView::PlayAnimations(CsLibrary.EntityInfo,System.String):121(1)
[none]System.Void NpcInteractView::SetInteractType(System.Int32):113(1)
[LogSystem]System.Void NpcJiaohuView::UpdateGoogOption():232(1)
[LogSystem]System.Void NpcJiaohuView::UpdateGoogOption():238(1)
[none]System.Void NpcJiaohuView::.ctor():54(1)
[none]System.Void NpcJiaohuView::.cctor():60(1)
[none]System.Void NpcJiaohuView::.cctor():61(1)
[none]System.Void NpcJiaohuView::.cctor():62(1)
[none]System.Void NpcJiaohuView::.cctor():63(1)
[none]System.Void NpcJiaohuView::.cctor():64(1)
[none]System.Void NpcJiaohuView::.cctor():65(1)
[Utility::Format]System.Void NpcShopMainView::SetMallInfo():94(1)
[Utility::Format]System.Void NpcShopMainView::SetMallInfo():97(1)
[none]System.Int32 NpcShopMainView::GetMaxBuyCount(MessageDefine.stMall_Item):241(1)
[Utility::Format]System.Void NpcShopMainView::Update():282(1)
[Utility::Format]System.Void NpcShopMainView::Update():285(1)
[String::Concat][System.Int32]System.Void PetHechengResultView::SetPetGridID(System.Int32):116(1)
[none]System.Boolean PetSkillView::IfShowUpdate(MessageDefine.stPetSkillItem):200(1)
[none]System.Void PetSkillView::.ctor():15(1)
[none]System.Void PetSkillView::.ctor():18(1)
[LogSystem]System.Void PetPropertyView::XqListItemRenderer(System.Int32,FairyGUI.GObject):166(1)
[LogSystem]System.Void PetPropertyView::Zili1ListItemRenderer(System.Int32,FairyGUI.GObject):186(1)
[LogSystem]System.Void PetPropertyView::Zili2ListItemRenderer(System.Int32,FairyGUI.GObject):212(1)
[LogSystem]System.Void PetPropertyView::Zili3ListItemRenderer(System.Int32,FairyGUI.GObject):226(1)
[none]System.Void PetSkillLearnView::ReloadAllSkillList(System.Int32):125(1)
[none]System.Void PetSkillLearnView::OnClickSkillBook(System.Int32,System.Int32,System.Boolean):274(1)
[none]System.Void PetSkillUpdateView::ShowSkillUpdate(System.Int32,System.Int32,System.Int32,System.Boolean):189(1)
[String::Concat][System.Int32]System.Void PetTuJianView::ShowAttribute(System.Int32):156(1)
[none]System.Void PetTuJianView::.ctor():43(1)
[LogSystem]System.Void PetView::OnSelectPet(System.Int32):382(1)
[none]System.Void PetView::.ctor():60(1)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):121(1)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):123(1)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):127(1)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):138(1)
[none]System.Void PlayerPropertyTipView::UpdateData(System.Int32[][]):56(1)
[none]System.Void PlayerPropertyTipView::.ctor():23(8)
[String::Concat][System.Int32]System.Void PlayerPropertyView::UpdateAttrInfo():367(1)
[none]System.Void PlayerPropertyView::.ctor():53(1)
[none]System.Void PlayerPropertyView::.ctor():54(1)
[none]System.Void PlayerPropertyView::.ctor():55(1)
[none]System.Void PlayerPropertyView::.ctor():56(1)
[none]System.Void PlayerPropertyView::.ctor():91(8)
[String::Concat][System.Int32]System.Void PlayerTitleView::OnSelectIndex(System.Int32):282(1)
[Utility::Format][System.Int32]System.Void QhJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):48(1)
[Utility::Format][System.Int32]System.Void QhJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):52(1)
[Utility::Format][System.Int32]System.Void QhJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):63(1)
[none]System.Void QhJieguoTipView::setData():81(1)
[none]System.Void QianghuaMainView::StartupFGUI():440(1)
[LogSystem][System.Int32]System.Void QianghuaMainView::playQiangHuaEffetItem(System.Int32,System.Int32):557(1)
[none]System.Void QianghuaMainView::playQiangHuaEffetItem(System.Int32,System.Int32):560(1)
[LogSystem][System.Int32]System.Void QianghuaMainView::clickedItem(System.Int32,System.Boolean):639(1)
[none]System.Void QianghuaMainView::freshUI():717(1)
[String::Concat][System.Int32]System.Void QianghuaMainView::setCurrentEquip(PlayerPackage/ClientItem,System.Int32):958(1)
[String::Concat][System.Int32]System.Void QianghuaMainView::setCurrentEquip(PlayerPackage/ClientItem,System.Int32):963(1)
[none]TableConfig.Item[] QianghuaMainView::getItemInfosByIDs(System.Int32[]):1000(1)
[LogSystem]System.Void QianghuaMainView::Update():1188(1)
[String::Concat][System.Int32]System.String QianghuaMainView::convertToString(MessageDefine.stEquip2_AdditionalAttr):1245(1)
[String::Concat][System.Int32]System.Void QuizMainView::ShowQuestion():191(1)
[String::Concat][System.Int32]System.Void QuizMainView::ShowAnswer():270(1)
[Utility::Format][System.Int32]System.Void SheJiaoView::RenderListItem(System.Int32,FairyGUI.GObject):300(1)
[Utility::Format]System.Void ShopMainView::UpdateView():257(1)
[Utility::Format]System.Void ShopMainView::UpdateView():260(1)
[Utility::Format]System.Void ShopMainView::Update():425(1)
[Utility::Format]System.Void ShopMainView::Update():428(1)
[String::Concat]System.Void ShopMainView::freshCellTime(FairyGUI.GObject,System.Int64):468(1)
[String::Concat]System.Void ShopMainView::freshCellTime(FairyGUI.GObject,System.Int64):471(1)
[none]System.Int32 ShopMainView::GetMaxBuyCount(MessageDefine.stMall_Item):517(1)
[String::Concat]System.Void ShowOtherPlayerInfoView::UpdatePlayerProperty():226(1)
[none]System.Void ShowOtherPlayerInfoView::.ctor():19(8)
[none]System.Void ShowOtherPlayerInfoView::.ctor():84(1)
[none]System.Void ShowOtherPlayerInfoView::.ctor():85(1)
[none]System.Void ShowOtherPlayerInfoView::.ctor():86(1)
[none]System.Void ShowOtherPlayerInfoView::.ctor():87(1)
[none]System.Void ShowOtherPlayerInfoView::.ctor():104(1)
[none]System.Void StoryQTEView::SetParameters():99(1)
[none]System.Void StoryQTEView::SetParameters():100(1)
[none]System.Void StoryQTEView::SetParameters():101(1)
[none]System.Void StoryQTEView::SetParameters():102(1)
[none]System.Void StoryQTEView::SetParameters(TableConfig.Qte):161(1)
[none]System.Void StoryQTEView::SetParameters(TableConfig.Qte):180(1)
[none]System.Void StoryQTEView::SetParameters(TableConfig.Qte):181(1)
[none]System.Void StoryQTEView::SetParameters(TableConfig.Qte):182(1)
[none]System.Void StoryQTEView::SetParameters(TableConfig.Qte):183(1)
[none]System.Void StoryQTEView::.ctor():50(1)
[String::Concat]System.Void TeamInviteView::UpdateGangUI():115(1)
[String::Concat]System.Void TeamApplyView::UpdateUI():65(1)
[none]System.Void TeamMyTeamView::.ctor():31(1)
[none]System.Void TeamMyTeamView::.ctor():32(1)
[String::Concat]System.Void TeamNearByView::UpdateNearTeam():126(1)
[String::Concat]System.Void TeamNearByView::UpdateNearPlayer():194(1)
[String::Concat]System.Void TeamNearByView::SetButtonInvited(Integer64):249(1)
[none]System.Void TeamPlatformView::OnMatchBtnChanged():76(1)
[String::Concat]System.Void TeamPlatformView::UpdateUI():179(1)
[String::Concat][System.Int32]System.Void TeamSetTargetView::OnScrollLevelList():114(1)
[String::Concat][System.Int32]System.Void TeamSetTargetView::ScrollEndAction():223(1)
[String::Concat][System.Int32]System.Void TeamSetTargetView::UpdateBottomLevelText():350(1)
[Utility::Format][System.Int32]System.Void Tip0005View::OnWordsChanged(FairyGUI.EventContext):55(1)
[Utility::Format][System.Int32]System.Void Tip0005View::setData():68(1)
[none]System.Void MasterRankView::buildMenuWithData(System.Collections.Generic.List`1<FairyGUI.TreeNode>,TableConfig.MasterRankMenu):777(1)
[none]System.Int32 MasterRankView::getMenuByClassify(System.Int32,System.String):825(1)
[Utility::Format][System.Int32]System.Void TipSsView::Update():60(1)
[none]System.Void TipZhouliView::SetWeeklyScrollerView(System.Int32,FairyGUI.GList):87(1)
[none]System.Void TipZhouliView::SetWeeklyScrollerView(System.Int32,FairyGUI.GList):94(1)
[none]System.Void TipZhouliView::.ctor():18(1)
[Utility::Format][System.Int32]System.Void BattleView::StartupFGUI():106(1)
[none]System.Void BattleView::OnSwitchTargetButton():753(1)
[none]System.Void BattleView::OnSwitchTargetButton():754(1)
[none]System.Void BattleView::OnSwitchTargetButton():755(1)
[none]System.Void BattleView::SetSkillBtnSkillAndIcon(System.Int32,System.Int32):929(1)
[LogSystem]System.Void BattleView::onSkillButtonAction(System.Int32,BattleView/PressState,UnityEngine.Vector2):1163(1)
[LogSystem]System.Void BattleView::onSkillButtonAction(System.Int32,BattleView/PressState,UnityEngine.Vector2):1199(1)
[LogSystem]System.Void BattleView::ShowRangeOnButton(System.Int32,UnityEngine.Vector2):1248(1)
[LogSystem]System.Void BattleView::ShowRangeOnButton(System.Int32,UnityEngine.Vector2):1256(1)
[LogSystem][System.Int32]System.Void BattleView::SetSkillButtonCD(System.Int32,System.Single):1734(1)
[LogSystem][System.Int32]System.Void BattleView::SetSkillButtonCDWithId(System.Int32,System.Single):1753(1)
[LogSystem][System.Int32]System.Void BattleView::SetChainSkillNew(System.Int32,System.Int32,System.Int32):1788(1)
[LogSystem][System.Int32]System.Void BattleView::SetChainSkillReset(System.Int32,System.Int32):1807(1)
[none]System.Void BattleView::.ctor():32(1)
[none]System.Void HomeButtonView::StartupFGUI():250(1)
[none]System.Void HomeButtonView::StartupFGUI():262(1)
[none]System.Void HomeButtonView::OnClickAutoFightBtn():406(1)
[none]System.Void HomeButtonView::OnClickAutoFightBtn():413(1)
[none]System.Void HomeButtonView::OnClickAutoFightBtn():417(1)
[none]System.Void HomeButtonView::.ctor():131(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():189(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():198(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():208(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():217(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():226(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():236(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():245(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():254(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():263(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():272(1)
[LogSystem]System.Void HomeController::ShowStandardMainView():281(1)
[none]System.Void HomeController::.ctor():76(1)
[none]System.Void TouxianTishengTipView::GoToActivity():132(1)
[none]System.Void TouxianTishengTipView::.ctor():47(1)
[none]System.Void TouxianTishengTipView::.ctor():48(1)
[none]System.Void TouxianTishengTipView::.ctor():49(1)
[none]System.Void UIDisposeConfig::.cctor():7(1)
[none]System.Void UIDisposeConfig::.cctor():10(1)
[none]System.Void UIDisposeConfig::.cctor():19(1)
[none]System.Void UIDisposeConfig::.cctor():21(1)
[none]System.Void RenderImage::SetBackground(FairyGUI.GObject,FairyGUI.GObject):118(1)
[LogSystem]System.Void XiakeDialogView::UpdateDialog(System.Byte,IntList):81(1)
[LogSystem]System.Void XiakeDialogView::OnDialogReturning(System.Byte,System.Byte):92(1)
[none]System.Void XiakeDialogView::RefreshDialogList():136(1)
[none]System.Void XiakeDialogView::RefreshDialogList():141(1)
[Utility::Format][System.Int32]System.Void XiakeGiftMainView::OnShowGiftTip(FGItemIconViewModel):276(1)
[String::Concat][System.Int32]System.Void XiakeMain01View::setData():231(1)
[none]System.Void XiakeMainView::initComboBoxData():307(1)
[none]System.Void XiakeMainView::initComboBoxData():308(1)
[none]System.Void XiakeMainView::collectXiaKe():475(1)
[none]System.Void YishiGongshiMainView::UpdateLeftTime(System.Object):301(1)
[Utility::Format][System.Int32]System.Void YishiGongshiMainView::UpdateLeftTime(System.Object):304(1)
[none]System.Void YishiGoodsOperView::SetData(MessageDefine.MarketItem):119(1)
[Utility::Format][System.Int32]System.Void YishiGoodsOperView::UpdateLeftTime(System.Object):148(1)
[none]System.Void YishiTanweiMainView::.ctor(FairyGUI.GComponent):24(1)
[none]System.Void YishiTanweiMainView::UpdateSellList(MessageDefine.QSCMD_MARKET_USERSC):124(1)
[Utility::Format][System.Int32]System.Void YueLiView::StartupFGUI():50(1)
[Utility::Format][System.Int32]System.Void YueLiView::OnRefreshYueLi(MessageDefine.QSCMD_LOGIN_GIFT_INFOSC):69(1)
[Utility::Format]System.Void YueLiView::RefreshTimesAndScore():86(1)
[none]System.Void ZaixianjlView::InitFlowers():169(1)
[none]System.Void ZaixianjlView::.ctor():33(1)
[none]System.Void ZaixianjlView::.ctor():34(1)
[none]System.Void ZaixianjlView::.ctor():35(1)
[none]System.Void ZbmwMainView::initComboBoxData():221(1)
[none]System.Void ZbmwMainView::initComboBoxData():222(1)
[none]System.Void ZbrlRootView::StartupFGUI(FairyGUI.GObject):237(1)
[none]System.Void ZbrlRootView::StartupFGUI(FairyGUI.GObject):246(1)
[none]System.Void ZbrlRootView::StartupFGUI(FairyGUI.GObject):247(1)
[none]System.Void ZbrlRootView::initAll():302(1)
[none]System.Void ZbrlRootView::initAll():303(1)
[none]System.Void ZbrlRootView::initAll():304(1)
[none]System.Void ZbrlRootView::initAll():305(1)
[String::Concat][System.Int32]System.Void ZbrlShuxingjhListView::setData(System.Int32):1757(1)
[none]System.Void WantedCircularView::StartupFGUI():58(1)
[none]System.Void WantedCircularView::StartupFGUI():66(1)
[LogSystem]System.Void YishuicanhongView::UpdateFragments():145(1)
[LogSystem][System.Int32]System.Void YishuicanhongView::UpdateFragments():168(1)
[Utility::Format][System.Int32]System.Void YishuicanhongView::UpdateFragments():257(1)
[none]System.Void YishuicanhongView::LoadSwordModel():345(1)
[none]System.Void YishuicanhongView::.ctor():31(1)
[LogSystem]System.Void AutoRunTest::Start():93(1)
[LogSystem]System.Void AutoRunTest::Stop():101(1)
[LogSystem]System.Single AutoRunTest::CheckLevel(System.Single):210(1)
[LogSystem]System.Single AutoRunTest::OperateActivity(System.Single):327(1)
[LogSystem]System.Single AutoRunTest::OperateActivity(System.Single):337(1)
[none]System.Single AutoRunTest::OperateNormal(System.Single):353(1)
[none]System.Single AutoRunTest::OperateNormal(System.Single):354(1)
[LogSystem]System.Single AutoRunTest::OperateNormal(System.Single):430(2)
[LogSystem]System.Single AutoRunTest::OperateSmallGame(System.Single):461(1)
[LogSystem][System.Int32]System.Single AutoRunTest::OperateGuid(System.Single):474(2)
[LogSystem][System.Int32]System.Single AutoRunTest::OperateGuid(System.Single):478(1)
[none]System.Single AutoRunTest::OperateGuid(System.Single):505(1)
[String::Concat]System.Single AutoRunTest::OperateGuid(System.Single):510(1)
[none]System.Single AutoRunTest::OperateGuid(System.Single):562(1)
[LogSystem][System.Int32]System.Single AutoRunTest::OperateGuid(System.Single):577(2)
[LogSystem]System.Single AutoRunTest::OperateGuid(System.Single):606(1)
[none]System.Void AutoRunTest::.cctor():21(1)
[none]System.Void TouchScreenController::.cctor():18(1)
[none]System.Void EntityController::OnSelSkillTarget(System.Int32):158(1)
[none]System.Void EntityController::OnSelSkillTarget(System.Int32):159(1)
[none]System.Void EntityController::OnSelSkillTarget(System.Int32):160(1)
[LogSystem]System.Void MoveController::MoveTo(System.Int32,CsLibrary.PathInfoPointList,System.Single,System.Action`1<CsLibrary.PathMoveResult>,System.Boolean):191(1)
[LogSystem][System.Int32]System.Void MoveController::FlashMoveXunLu(MessageDefine.QSCMD_FLASHMOVESC):326(1)
[none]System.Void MoveController::GMFlashMove(System.Int32,System.Int32,System.Int32):499(1)
[LogSystem]System.Void MoveController::Handle_QSCMD_MOVELINE(System.Object):794(1)
[find:Controller::Update, HomeButtonController::Update[none]System.Void HomeButtonController::Update():170(1)
[find:Controller::Update, HomeButtonController::Update[none]System.Void HomeButtonController::Update():171(1)
[find:Controller::Update, HomeButtonController::Update[none]System.Void HomeButtonController::Update():172(1)
[none]System.String ClientMissionItem::get_tutorInfo():216(1)
[Utility::Format]System.String ClientMissionItem::get_tutorInfo():222(1)
[Utility::Format][System.Int32]System.String ClientMissionItem::get_ProgressText():242(1)
[Utility::Format][System.Int32]System.String ClientMissionItem::get_ProgressText():254(1)
[Utility::Format][System.Int32]System.String ClientMissionItem::get_ProgressText():256(1)
[Utility::Format][System.Int32]System.String ClientMissionItem::get_ProgressText():260(1)
[Utility::Format][System.Int32]System.String ClientMissionItem::get_ProgressText():265(1)
[LogSystem]System.String ClientMissionItem::get_ProgressText():279(1)
[String::Concat][System.Int32]System.String ClientMissionItem::TargetTipText(System.UInt32,System.UInt32):287(1)
[LogSystem]System.Void MissionMessageHandler::Handle_QSCMD_MISSION_ACCEPT(System.Object):132(1)
[none]System.Void MissionMessageHandler::Handle_QSCMD_MISSION_ACCEPT(System.Object):142(1)
[LogSystem]System.Void MissionMessageHandler::Handle_QSCMD_MISSION_SUBMIT(System.Object):197(1)
[Utility::Format][System.Int32]System.Void MissionManager::RefreshMissionTutorList(ClientMissionItem):247(1)
[LogSystem]System.Boolean MissionManager::TryToMoveToMissionTarget(ClientMissionItem):499(1)
[none]System.String MissionManager::MissionDialogPrefix(ClientMissionItem):573(1)
[Utility::Format]System.String MissionManager::MissionDialogPrefix(ClientMissionItem):576(1)
[Utility::Format]System.String MissionManager::MissionDialogPrefix(ClientMissionItem):578(1)
[Utility::Format]System.Void MissionManager::ShowNpcFuncListView(MessageDefine.QSCMD_TOUCHNPCSC):602(1)
[none]MissionMainViewModel MissionManager::CreateMainViewModel():762(1)
[Utility::Format][System.Int32]System.Void MissionManager::OnTreeClickNode(FairyGUI.TreeNode):993(1)
[Utility::Format][System.Int32]System.Void CopyController::QSCMD_SCENE_COUNTDOWN_Handler(System.Object):96(1)
[LogSystem][System.Int32]System.Void MissionMainView::OnRewardMoneyListRender(System.Int32,FairyGUI.GObject):128(1)
[none]FairyGUI.GObject FairyGUIUtilits::FindChild(FairyGUI.GObject,System.String):12(1)
[Utility::Format][System.Int32]System.Void JianWenMainView::OnTreeNodeRender(FairyGUI.TreeNode):63(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():245(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():255(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():265(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():276(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():312(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():326(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():336(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():346(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::ShowTouXian():356(1)
