ã»[none]System.Void CinemachineExampleWindow::OnGUI():27(1)
[LogSystem]System.Boolean Game/<LoadLevel>d__64::MoveNext():738(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1192(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1195(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1220(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1225(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1237(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1263(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1284(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1298(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1313(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1332(1)
[Debug::Log]System.Boolean Game/<AssetUpdateOperation>d__87::MoveNext():1345(1)
[String::Concat][System.Int32]System.Void HeightMapMd5::CheckHeightMapMd5(System.String,System.String):33(1)
[none]System.Void HeightMapMd5::ReadData():54(1)
[none]System.Void HeightMapMd5::ReadData():57(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():26(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():34(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():40(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():41(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():42(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():48(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():53(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():57(1)
[none]System.Void LoadAnimsInspector::OnInspectorGUI():64(1)
[String::Format]System.String IfsExtract::FirstExtractConfig(System.String):129(1)
[find:Update, MaterialEffectCache::Update][none]System.Void MaterialEffectCache::Update():73(1)
[String::Concat][System.Int32]System.Void PlanarRealtimeReflection::CreateSurfaceObjects(UnityEngine.Camera,UnityEngine.Camera&):186(2)
[none]UnityEngine.Material[] PostEffect::get_Materials():114(1)
[none]UnityEngine.GameObject CameraPostProcess::CreatePlaneMeshBlock(System.String,System.Single,System.Single,System.Single):118(1)
[none]UnityEngine.GameObject CameraPostProcess::CreatePlaneMeshBlock(System.String,System.Single,System.Single,System.Single):119(1)
[none]UnityEngine.GameObject CameraPostProcess::CreatePlaneMeshBlock(System.String,System.Single,System.Single,System.Single):120(1)
[Debug::Log]UnityEngine.Material PostProcessEffectBase::CheckShaderAndCreateMaterial(UnityEngine.Shader,UnityEngine.Material):22(1)
[Debug::Log]System.Boolean PostProcessEffectBase::CheckShader(UnityEngine.Shader):114(1)
[String::Concat]System.Void PrintCurve::Start():18(1)
[String::Format]System.String ResUpdateVersionConfig::GetApkApdateFirstExtractConfig():109(1)
[String::Format]System.String ResUpdateVersionConfig::GetApkApdateNotFirstExtractConfig():163(1)
[String::Format]System.String ResUpdateVersionConfig::GetFullDiffFirstExtractConfig():204(1)
[String::Format]System.String ResUpdateVersionConfig::GetFullDiffNotFirstExtractConfig():256(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):363(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):364(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):365(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):366(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):367(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):371(1)
[String::Format]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):373(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnGetNewVersionInfo(IIPSMobile.IIPSMobileVersionCallBack/VERSIONINFO):378(1)
[Debug::Log][System.Int32]System.Void ResUpdateVersionCallBack::OnProgress(IIPSMobile.IIPSMobileVersionCallBack/VERSIONSTAGE,System.UInt64,System.UInt64):527(1)
[Debug::Log]System.Void ResUpdateVersionCallBack::OnError(IIPSMobile.IIPSMobileVersionCallBack/VERSIONSTAGE,System.UInt32):537(1)
[Debug::Log]System.Void ResUpdateVersionCallBack::SaveConfig(System.UInt32,System.IntPtr):552(1)
[Debug::Log]System.Byte ResUpdateVersionCallBack::OnActionMsg(System.String):569(1)
[Debug::Log]System.Boolean ResourceUpdateUnit::dayOfJudgement():676(1)
[Debug::Log][System.Int32]System.Void ResourceUpdateUnit::StartUpdateService(Game):689(1)
[Debug::Log]System.Void ResourceUpdateUnit::StopUpdateService(System.Boolean):879(1)
[Debug::Log]System.Boolean ResourceUpdateUnit/<UpdateLevel>d__28::MoveNext():721(1)
[Debug::Log]System.Boolean ResourceUpdateUnit/<UpdateLevel>d__28::MoveNext():794(1)
[Debug::Log]System.Boolean ResourceUpdateUnit/<UpdateLevel>d__28::MoveNext():805(1)
[Debug::Log][System.Int32]System.Boolean ResourceUpdateUnit/<UpdateLevel>d__28::MoveNext():850(1)
[none]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetMaterials(System.Int32):24(1)
[LogSystem]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetMaterials(System.Int32):30(1)
[none]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetMaterials(System.Int32):36(1)
[LogSystem]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetMaterials(System.Int32):42(1)
[none]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetSharedMaterials(System.Int32):63(1)
[LogSystem]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetSharedMaterials(System.Int32):68(1)
[none]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetSharedMaterials(System.Int32):74(1)
[LogSystem]System.Collections.Generic.Dictionary`2<System.String,UnityEngine.Material[]> RunTimeCharacterConfig::GetSharedMaterials(System.Int32):79(1)
[find:Update, ScreenFading::Update][LogSystem]System.Void ScreenFading::Update():55(1)
[none]System.Void ScreenFading::OnEnable():108(1)
[none]System.Void ScreenFading::OnEnable():109(1)
[LogSystem]System.Void ScreenFading::OnPreRender():142(1)
[none]System.Void ScreenFading::LightTo(System.Object[]):187(1)
[none]System.Void ScreenFading::.ctor():17(1)
[LogSystem]System.Void StoryCamera::Awake():45(1)
[find:Update, StoryCamera::LateUpdate][LogSystem]System.Void StoryCamera::LateUpdate():58(1)
[GfxStorySystem::SendMessage]System.Void StoryMessage::SendStoryMessage(System.String):18(1)
[LogSystem]System.Void StoryObject::PlayAnimation(System.Object[]):208(1)
[GfxStorySystem::SendMessage]System.Void StoryObject::OnCollisionEnter(UnityEngine.Collision):270(1)
[GfxStorySystem::SendMessage]System.Void StoryObject::OnCollisionExit(UnityEngine.Collision):275(1)
[GfxStorySystem::SendMessage]System.Void StoryObject::OnTriggerEnter(UnityEngine.Collider):280(1)
[GfxStorySystem::SendMessage]System.Void StoryObject::OnTriggerExit(UnityEngine.Collider):285(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void StoryObject::OnControlPointReached(System.String,FluffyUnderware.Curvy.CurvySplineSegment):290(1)
[GfxStorySystem::SendMessage]System.Void StoryObject/<>c__DisplayClass6_0::<PlayCurvy>b__0(FluffyUnderware.Curvy.CurvySplineMoveEventArgs):79(1)
[GfxStorySystem::SendMessage]System.Void StoryObject/<>c__DisplayClass7_0::<PlayCurvy2>b__0(FluffyUnderware.Curvy.CurvySplineMoveEventArgs):96(1)
[none]System.Void TimelineDisplay::.ctor():8(1)
[none]System.Void TextureManager::OnBeforeSerialize():95(1)
[none]System.Void TextureManager::OnBeforeSerialize():96(1)
[none]System.Void DebugPanelView::OnGUI():149(1)
[none]System.Void DebugPanelView::OnGUI():150(1)
[none]System.Void DebugPanelView::OnGUI():153(1)
[none]System.Void DebugPanelView::OnGUI():157(1)
[none]System.Void DebugPanelView::OnGUI():161(1)
[none]System.Void DebugPanelView::OnGUI():164(1)
[none]System.Void DebugPanelView::OnGUI():165(1)
[String::Format][System.Int32]System.Void DebugPanelView::OnGUI():178(1)
[String::Format][System.Int32]System.Void DebugPanelView::OnGUI():179(1)
[String::Format][System.Int32]System.Void DebugPanelView::OnGUI():182(1)
[String::Format][System.Int32]System.Void DebugPanelView::OnGUI():183(1)
[LogSystem]System.Void DebugPanelView::OnGUI():188(1)
[String::Format][System.Int32]System.Void DebugPanelView::OnGUI():199(1)
[String::Format][System.Int32]System.Void DebugPanelView::OnGUI():200(1)
[String::Format][System.Int32]System.Void DebugPanelView::OnGUI():201(1)
[none]System.Void DebugPanelView::OnGUI():211(1)
[none]System.Void DebugPanelView::OnGUI():214(1)
[none]System.Void DebugPanelView::OnGUI():217(1)
[none]System.Void DebugPanelView::OnGUI():230(1)
[none]System.Void DebugPanelView::OnGUI():237(1)
[none]System.Void DebugPanelView::OnGUI():238(1)
[none]System.Void DebugPanelView::OnGUI():239(1)
[none]System.Void DebugPanelView::OnGUI():242(1)
[none]System.Void DebugPanelView::OnGUI():249(1)
[none]System.Void DebugPanelView::OnGUI():252(1)
[none]System.Void DebugPanelView::OnGUI():255(1)
[none]System.Void DebugPanelView::OnGUI():262(1)
[none]System.Void DebugPanelView::OnGUI():269(1)
[none]System.Void DebugPanelView::OnGUI():270(1)
[none]System.Void DebugPanelView::OnGUI():272(1)
[none]System.Void DebugPanelView::OnGUI():276(1)
[none]System.Void DebugPanelView::OnGUI():278(1)
[none]System.Void DebugPanelView::OnGUI():286(1)
[none]System.Void DebugPanelView::OnGUI():290(1)
[none]System.Void DebugPanelView::OnGUI():304(1)
[none]System.Void DebugPanelView::OnGUI():329(1)
[none]System.Void DebugPanelView::OnGUI():343(1)
[none]System.Void DebugPanelView::OnGUI():369(1)
[none]System.Void DebugPanelView::OnGUI():378(1)
[none]System.Void DebugPanelView::OnGUI():386(1)
[none]System.Void DebugPanelView::OnGUI():390(1)
[none]System.Void DebugPanelView::OnGUI():404(1)
[none]System.Void DebugPanelView::OnGUI():425(1)
[none]System.Void DebugPanelView::OnGUI():448(1)
[none]System.Void DebugPanelView::OnGUI():452(1)
[none]System.Void DebugPanelView::OnGUI():473(1)
[none]System.Void DebugPanelView::OnGUI():496(1)
[none]System.Void DebugPanelView::OnGUI():517(1)
[none]System.Void DebugPanelView::OnGUI():538(1)
[none]System.Void DebugPanelView::OnGUI():540(1)
[none]System.Void DebugPanelView::OnGUI():550(1)
[none]System.Void DebugPanelView::OnGUI():561(1)
[none]System.Void DebugPanelView::OnGUI():562(1)
[none]System.Void DebugPanelView::OnGUI():565(1)
[none]System.Void DebugPanelView::OnGUI():570(1)
[none]System.Void DebugPanelView::OnGUI():571(1)
[none]System.Void DebugPanelView::OnGUI():574(1)
[none]System.Void DebugPanelView::OnGUI():575(1)
[none]System.Void DebugPanelView::OnGUI():578(1)
[none]System.Void DebugPanelView::OnGUI():579(1)
[none]System.Void DebugPanelView::OnGUI():582(1)
[none]System.Void DebugPanelView::OnGUI():583(1)
[none]System.Void DebugPanelView::OnGUI():588(1)
[String::Concat][System.Int32]System.Void DebugPanelView::OnGUI():589(1)
[none]System.Void DebugPanelView::OnGUI():590(1)
[none]System.Void DebugPanelView::OnGUI():594(1)
[none]System.Void DebugPanelView::OnGUI():601(1)
[none]System.Void DebugPanelView::OnGUI():602(1)
[none]System.Void DebugPanelView::OnGUI():606(1)
[none]System.Void DebugPanelView::OnGUI():607(1)
[none]System.Void DebugPanelView::OnGUI():608(1)
[none]System.Void DebugPanelView::OnGUI():611(1)
[none]System.Void DebugPanelView::OnGUI():618(1)
[none]System.Void DebugPanelView::OnGUI():619(1)
[none]System.Void DebugPanelView::OnGUI():620(1)
[none]System.Void DebugPanelView::OnGUI():623(1)
[none]System.Void DebugPanelView::OnGUI():626(1)
[none]System.Void DebugPanelView::OnGUI():632(1)
[none]System.Void DebugPanelView::OnGUI():634(1)
[none]System.Void DebugPanelView::OnGUI():640(1)
[none]System.Void DebugPanelView::OnGUI():649(1)
[none]System.Void DebugPanelView::OnGUI():650(1)
[none]System.Void DebugPanelView::OnGUI():653(1)
[none]System.Void DebugPanelView::OnGUI():656(1)
[none]System.Void DebugPanelView::OnGUI():659(1)
[none]System.Void DebugPanelView::.ctor():19(1)
[none]System.Void DebugPanelView::.ctor():33(1)
[GfxStorySystem::SendMessage]System.Boolean VideoPlay/<PlayVideo>d__6::MoveNext():35(1)
[String::Concat][System.Int32]System.String KMProcessorProgram::MeshDescription(UnityEngine.Mesh):41(1)
[String::Concat][System.Int32]System.String KMProcessorProgram::MeshDescription(UnityEngine.Mesh):43(1)
[none]System.Void KMProcessorProgram::.ctor():20(1)
[none]System.Void KMSimplifyProcessor::.ctor():7(1)
[none]System.Void KMSimplifyProcessor::.ctor():8(1)
[none]System.Void KMSubdivideQProcessor::.ctor():13(1)
[none]System.Void KMSubdivideQProcessor::.ctor():14(1)
[none]System.Void TerrainConverter.TerrainToMeshConverter::LoadNodes():70(1)
[none]System.Void TerrainConverter.TerrainToMeshConverter::CollectInfos():105(1)
[String::Concat][System.Int32]System.Void TerrainConverter.TerrainToMeshConverter::CollectInfos():109(1)
[none]System.Void TerrainConverter.TerrainToMeshConverter::CollectInfos():120(1)
[none]UnityEngine.MeshRenderer TerrainConverter.TerrainToMeshTile::CreateMeshRenderer(UnityEngine.Mesh,System.Boolean[],System.Int32[],System.Int32):74(1)
[String::Concat][System.Int32]UnityEngine.MeshRenderer TerrainConverter.TerrainToMeshTile::CreateSingleMeshRenderer(UnityEngine.Mesh,System.Int32,System.Boolean,System.Int32):94(1)
[none]System.Void TerrainConverter.TerrainToMeshTile::CollectMeshInfo(System.Int32):106(1)
[none]System.Void TerrainConverter.TerrainToMeshTile::CollectMeshInfo(System.Int32):109(1)
[none]System.Collections.Generic.List`1<UnityEngine.Renderer> TerrainConverter.TerrainToMeshTile::CreateRenderersForOneLodLevel(System.Int32):124(1)
[none]System.Collections.Generic.List`1<UnityEngine.Renderer> TerrainConverter.TerrainToMeshTile::CreateRenderersForOneLodLevel(System.Int32):151(1)
[none]System.Void TerrainConverter.TerrainToMeshTile::CreateStaticChildren():172(1)
[none]System.Void TerrainConverter.Node::.ctor(System.Int32,System.Int32,System.Int32):52(1)
[none]System.Void TerrainConverter.Node::.ctor(System.Int32,System.Int32,System.Int32):58(1)
[none]TerrainConverter.AlphaLayer[] TerrainConverter.Node::GetAlphaBytes():131(1)
[none]System.Void TerrainConverter.Node::CreateChildFromBytes(System.Byte[],System.Int32&):156(1)
[none]System.Void TerrainConverter.Node/<>c__DisplayClass23_0::<SetAlphaBytes>b__0(TerrainConverter.Node):183(1)
[none]System.Void TerrainConverter.TerrainToMeshTool::.cctor():371(1)
[none]System.Void TerrainConverter.TerrainToMeshTool::.cctor():439(1)
[none]System.Void TerrainConverter.TerrainToMeshTool::.cctor():443(1)
[none]System.Void PigeonCoopToolkit.Utillities.CircularBuffer`1::.ctor(System.Int32):24(1)
[String::Format][System.Int32]System.String PigeonCoopToolkit.Generic.VersionInformation::ToString():21(1)
[none]System.Void PigeonCoopToolkit.Effects.Trails.SmokePlume::Reset():28(1)
[find:Update, PigeonCoopToolkit.Effects.Trails.TrailRenderer_Base::LateUpdate][none]System.Void PigeonCoopToolkit.Effects.Trails.TrailRenderer_Base::LateUpdate():67(1)
[none]System.Void PigeonCoopToolkit.Effects.Trails.TrailRenderer_Base::Reset():213(1)
[none]System.Void PigeonCoopToolkit.Effects.Trails.PCTrail::.ctor(System.Int32):581(1)
[none]System.Void PigeonCoopToolkit.Effects.Trails.PCTrail::.ctor(System.Int32):582(1)
[none]System.Void PigeonCoopToolkit.Effects.Trails.PCTrail::.ctor(System.Int32):583(1)
[none]System.Void PigeonCoopToolkit.Effects.Trails.PCTrail::.ctor(System.Int32):584(1)
[none]System.Void PigeonCoopToolkit.Effects.Trails.PCTrail::.ctor(System.Int32):585(1)
[Debug::Log]System.Void FluffyUnderware.DevTools.ActionAttribute::Callback(System.Object):154(1)
[none]System.Void FluffyUnderware.DevTools.ConditionalAttribute::.ctor(System.String,System.Object,System.Boolean):181(1)
[none]System.Void FluffyUnderware.DevTools.ConditionalAttribute::.ctor(System.String,System.Object,System.Boolean,FluffyUnderware.DevTools.ConditionalAttribute/OperatorEnum,System.String,System.Object,System.Boolean):197(1)
[none]System.Void FluffyUnderware.DevTools.ConditionalAttribute::.ctor(System.String,System.Object,System.Boolean,FluffyUnderware.DevTools.ConditionalAttribute/OperatorEnum,System.String,System.Object,System.Boolean,System.String,System.Object,System.Boolean):221(1)
[none]System.Void FluffyUnderware.DevTools.ConditionalAttribute::.ctor(System.String):250(1)
[Debug::Log]System.Boolean FluffyUnderware.DevTools.ConditionalAttribute::evaluate(FluffyUnderware.DevTools.ConditionalAttribute/Condition,System.Object):298(1)
[none]System.Boolean FluffyUnderware.DevTools.TabAttribute::split(System.String,System.String&,System.String&,System.String&):373(1)
[none]UnityEngine.Material FluffyUnderware.DevTools.DTUtility::GetDefaultMaterial():36(1)
[none]System.Void FluffyUnderware.DevTools.DTUtility::SetPlayerPrefs(System.String,T):153(1)
[none]T FluffyUnderware.DevTools.DTUtility::GetPlayerPrefs(System.String,T):177(1)
[find:Update, FluffyUnderware.DevTools.DTVersionedMonoBehaviour::UpgradeVersion][Debug::Log]System.Boolean FluffyUnderware.DevTools.DTVersionedMonoBehaviour::UpgradeVersion(System.String,System.String):57(1)
[find:Update, FluffyUnderware.DevTools.DTVersionedMonoBehaviour::UpgradeVersion][Debug::Log]System.Boolean FluffyUnderware.DevTools.DTVersionedMonoBehaviour::UpgradeVersion(System.String,System.String):59(1)
[none]System.Void FluffyUnderware.DevTools.PoolManager::.ctor():57(1)
[none]System.Void FluffyUnderware.DevTools.Extensions.ComponentExt::StripComponents(UnityEngine.Component,System.Type[]):247(1)
[String::Format]System.String FluffyUnderware.DevTools.Extensions.ColorExt::ToHtml(UnityEngine.Color):342(1)
[none]UnityEngine.Color FluffyUnderware.DevTools.Extensions.StringExt::ColorFromHtml(System.String):535(1)
[none]T[] FluffyUnderware.DevTools.Extensions.ArrayExt::SubArray(T[],System.Int32,System.Int32):591(1)
[none]T[] FluffyUnderware.DevTools.Extensions.ArrayExt::RemoveAt(T[],System.Int32):599(1)
[none]T[] FluffyUnderware.DevTools.Extensions.ArrayExt::InsertAt(T[],System.Int32):611(1)
[none]System.Void FluffyUnderware.DevTools.Extensions.MeshFilterExt::CalculateTangents(UnityEngine.MeshFilter):718(1)
[none]System.Void FluffyUnderware.DevTools.Extensions.MeshFilterExt::CalculateTangents(UnityEngine.MeshFilter):719(1)
[none]System.Void FluffyUnderware.DevTools.Extensions.MeshFilterExt::CalculateTangents(UnityEngine.MeshFilter):721(1)
[none]System.Type FluffyUnderware.DevTools.Extensions.TypeExt::FindIEnumerable(System.Type):1071(1)
[none]System.Type FluffyUnderware.DevTools.Extensions.TypeExt::FindIEnumerable(System.Type):1077(1)
[none]System.Void FluffyUnderware.Curvy.CurvyController::SetFromString(System.String):1146(1)
[none]System.Void FluffyUnderware.Curvy.CurvyShape::SetBezierHandles(System.Int32,System.Single,System.Single):306(1)
[none]System.Void FluffyUnderware.Curvy.CurvyShape::SetBezierHandles(System.Int32,System.Single,System.Single):307(1)
[none]System.Void FluffyUnderware.Curvy.CurvySpline::OnDestroy():611(1)
[none]FluffyUnderware.Curvy.CurvySpline FluffyUnderware.Curvy.CurvySpline::Create():668(1)
[none]FluffyUnderware.Curvy.CurvySplineSegment[] FluffyUnderware.Curvy.CurvySpline::Add(UnityEngine.Vector3[]):1215(1)
[none]FluffyUnderware.Curvy.CurvySplineSegment[] FluffyUnderware.Curvy.CurvySpline::Add(UnityEngine.Vector3[]):1232(1)
[none]FluffyUnderware.Curvy.CurvySplineSegment FluffyUnderware.Curvy.CurvySpline::InsertBefore(FluffyUnderware.Curvy.CurvySplineSegment):1255(1)
[none]FluffyUnderware.Curvy.CurvySplineSegment FluffyUnderware.Curvy.CurvySpline::InsertAfter(FluffyUnderware.Curvy.CurvySplineSegment):1312(1)
[none]System.Void FluffyUnderware.Curvy.CurvySpline::Delete(FluffyUnderware.Curvy.CurvySplineSegment):1413(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySpline::GetApproximation(UnityEngine.Space):1446(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySpline::GetApproximationT():1471(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySpline::GetApproximationUpVectors():1488(1)
[none]System.Void FluffyUnderware.Curvy.CurvySpline::SetFromString(System.String):2370(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineBase::GetApproximation(UnityEngine.Space):495(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineBase::GetApproximationT():501(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineBase::GetApproximationUpVectors():507(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineBase::GetPolygonByAngle(System.Single,System.Single):519(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineBase::GetApproximationPoints(System.Single,System.Single,System.Boolean):648(1)
[none]FluffyUnderware.Curvy.CurvySplineGroup FluffyUnderware.Curvy.CurvySplineGroup::Create(FluffyUnderware.Curvy.CurvySpline[]):182(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineGroup::GetApproximation(UnityEngine.Space):509(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineGroup::GetApproximationT():541(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.CurvySplineGroup::GetApproximationUpVectors():573(1)
[none]System.Void FluffyUnderware.Curvy.CurvySplineGroup::doRefreshLength():752(1)
[none]System.Boolean FluffyUnderware.Curvy.CurvySplineSegment::ConnectTo(FluffyUnderware.Curvy.CurvySplineSegment,System.Boolean,System.Boolean,FluffyUnderware.Curvy.ConnectionHeadingEnum):1454(1)
[none]System.Boolean FluffyUnderware.Curvy.CurvySplineSegment::ConnectTo(FluffyUnderware.Curvy.CurvySplineSegment,System.Boolean,System.Boolean,FluffyUnderware.Curvy.ConnectionHeadingEnum):1460(1)
[none]System.Boolean FluffyUnderware.Curvy.CurvySplineSegment::ConnectTo(FluffyUnderware.Curvy.CurvySplineSegment,System.Boolean,System.Boolean,FluffyUnderware.Curvy.ConnectionHeadingEnum):1466(1)
[none]System.Void FluffyUnderware.Curvy.CurvySplineSegment::SetAsFirstCP():1627(1)
[none]System.Void FluffyUnderware.Curvy.CurvySplineSegment::.ctor():181(1)
[none]System.Void FluffyUnderware.Curvy.CurvySplineSegment::.ctor():188(1)
[none]System.Void FluffyUnderware.Curvy.CurvySplineSegment::.ctor():195(1)
[none]System.Void FluffyUnderware.Curvy.CurvySplineSegment::.ctor():202(1)
[none]FluffyUnderware.Curvy.CurvyUISpline FluffyUnderware.Curvy.CurvyUISpline::CreateUISpline():26(1)
[none]System.Void FluffyUnderware.Curvy.Controllers.UITextSplineController/GlyphQuad::.ctor():31(1)
[none]System.Void FluffyUnderware.Curvy.Controllers.UITextSplineController/GlyphPlain::.ctor():93(1)
[none]System.Void FluffyUnderware.Curvy.Shapes.CSRectangle::ApplyShape():70(1)
[none]System.Void FluffyUnderware.Curvy.Utils.Spline2Mesh::uvmap():375(1)
[none]System.Void FluffyUnderware.Curvy.Utils.Spline2Mesh::uvmap():391(1)
[none]System.Void FluffyUnderware.Curvy.Utils.Spline2Mesh::uvmap():394(1)
[none]UnityEngine.Vector3[] FluffyUnderware.Curvy.Utils.SplinePolyLine::GetVertices():506(1)
[none]System.Void FluffyUnderware.Curvy.Utils.SerializedCurvySplineCollection::.ctor(System.Collections.Generic.List`1<FluffyUnderware.Curvy.CurvySpline>,FluffyUnderware.Curvy.Utils.CurvySerializationSpace):582(1)
[none]System.Void FluffyUnderware.Curvy.Utils.SerializedCurvySplineCollection::.ctor(System.Collections.Generic.List`1<FluffyUnderware.Curvy.CurvySpline>,FluffyUnderware.Curvy.Utils.CurvySerializationSpace):587(1)
[none]FluffyUnderware.Curvy.CurvySpline[] FluffyUnderware.Curvy.Utils.SerializedCurvySplineCollection::Deserialize(UnityEngine.Transform,FluffyUnderware.Curvy.Utils.CurvySerializationSpace,System.Action`2<FluffyUnderware.Curvy.CurvySpline,System.String>,System.Action`2<FluffyUnderware.Curvy.CurvySplineSegment,System.String>):594(1)
[none]FluffyUnderware.Curvy.CurvySpline[] FluffyUnderware.Curvy.Utils.SerializedCurvySplineCollection::Deserialize(FluffyUnderware.Curvy.CurvySpline[],FluffyUnderware.Curvy.Utils.CurvySerializationSpace,System.Action`2<FluffyUnderware.Curvy.CurvySpline,System.String>,System.Action`2<FluffyUnderware.Curvy.CurvySplineSegment,System.String>):606(1)
[none]System.Void FluffyUnderware.Curvy.Utils.SerializedCurvySplineSegmentCollection::.ctor(System.Collections.Generic.List`1<FluffyUnderware.Curvy.CurvySplineSegment>,FluffyUnderware.Curvy.Utils.CurvySerializationSpace):623(1)
[none]System.Void FluffyUnderware.Curvy.Utils.SerializedCurvySplineSegmentCollection::.ctor(System.Collections.Generic.List`1<FluffyUnderware.Curvy.CurvySplineSegment>,FluffyUnderware.Curvy.Utils.CurvySerializationSpace):628(1)
[none]FluffyUnderware.Curvy.CurvySplineSegment[] FluffyUnderware.Curvy.Utils.SerializedCurvySplineSegmentCollection::Deserialize(FluffyUnderware.Curvy.CurvySpline,FluffyUnderware.Curvy.Utils.CurvySerializationSpace,System.Action`2<FluffyUnderware.Curvy.CurvySplineSegment,System.String>):635(1)
[none]FluffyUnderware.Curvy.CurvySplineSegment[] FluffyUnderware.Curvy.Utils.SerializedCurvySplineSegmentCollection::Deserialize(FluffyUnderware.Curvy.CurvySplineSegment,FluffyUnderware.Curvy.Utils.CurvySerializationSpace,System.Action`2<FluffyUnderware.Curvy.CurvySplineSegment,System.String>):651(1)
[none]System.Void FluffyUnderware.Curvy.Utils.SerializedCurvySpline::.ctor():688(1)
[none]System.Void FluffyUnderware.Curvy.Utils.SerializedCurvySpline::.ctor(FluffyUnderware.Curvy.CurvySpline,FluffyUnderware.Curvy.Utils.CurvySerializationSpace):688(1)
[none]System.Void FluffyUnderware.Curvy.Utils.SerializedCurvySpline::.ctor(FluffyUnderware.Curvy.CurvySpline,FluffyUnderware.Curvy.Utils.CurvySerializationSpace):710(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGMeshProperties::.ctor():187(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGMeshProperties::.ctor(UnityEngine.Mesh):187(1)
[none]System.Void FluffyUnderware.Curvy.Generator.CGMeshProperties::.ctor(UnityEngine.Mesh):260(2)
[String::Format][System.Int32]System.String FluffyUnderware.Curvy.Generator.SamplePointsPatch::ToString():753(1)
