Σ[none]System.Void DBData`1::Load(Integer64):43(1)
[String::Concat][System.Int32]System.Void PetView::ReloadList():552(2)
[String::Concat]System.Void PetView::ReloadList():596(1)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):121(2)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):123(2)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):127(1)
[Utility::Format][System.Int32]System.Void PinjianInfoView::UpdateUI(MessageDefine.QSCMD_SCORE_BOARD_QCSC):138(1)
[StringBuilder::AppendFormat][System.Int32]System.Void PinjianInfoView::ShowText(System.Int32):158(2)
[Utility::Format][System.Int32]System.Void QhJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):48(1)
[Utility::Format][System.Int32]System.Void QhJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):52(1)
[Utility::Format][System.Int32]System.Void QhJieguoTipView::RenderListItem(System.Int32,FairyGUI.GObject):63(2)
[String::Concat][System.Int32]System.Void QianghuaMainView::StartupFGUI():443(1)
[LogSystem][System.Int32]System.Void QianghuaMainView::playQiangHuaEffetItem(System.Int32,System.Int32):557(2)
[LogSystem][System.Int32]System.Void QianghuaMainView::clickedItem(System.Int32,System.Boolean):639(1)
[String::Concat][System.Int32]System.Void QianghuaMainView::setCurrentEquip(PlayerPackage/ClientItem,System.Int32):958(2)
[String::Concat][System.Int32]System.Void QianghuaMainView::setCurrentEquip(PlayerPackage/ClientItem,System.Int32):963(2)
[String::Concat][System.Int32]System.String QianghuaMainView::convertToString(MessageDefine.stEquip2_AdditionalAttr):1243(1)
[String::Concat][System.Int32]System.String QianghuaMainView::convertToString(MessageDefine.stEquip2_AdditionalAttr):1245(2)
[String::Concat][System.Int32]System.Collections.Generic.List`1<StingStringStruct> QianghuaMainView::convertToString(TableConfig.EquipEnhance,System.Boolean):1254(1)
[String::Concat][System.Int32]System.Collections.Generic.List`1<StingStringStruct> QianghuaMainView::convertToString(TableConfig.EquipEnhance,System.Boolean):1259(1)
[String::Concat][System.Int32]System.Collections.Generic.List`1<StingStringStruct> QianghuaMainView::convertToString(TableConfig.EquipEnhance,System.Boolean):1263(1)
[String::Concat][System.Int32]System.Collections.Generic.List`1<StingStringStruct> QianghuaMainView::convertToString(TableConfig.EquipEnhance,System.Boolean):1267(1)
[String::Concat][System.Int32]System.Void QuizMainView::ShowQuestion():191(1)
[String::Concat][System.Int32]System.Void QuizMainView::ShowAnswer():270(1)
[FairyGUI.GObject::data][System.Int32]System.Void QuizMainView::RenderListItem(System.Int32,FairyGUI.GObject):306(1)
[StringBuilder::AppendFormat][System.Int32]System.Void SceneCountDownView::ShowText(System.Int32):39(2)
[Utility::Format][System.Int32]System.Void SheJiaoView::RenderListItem(System.Int32,FairyGUI.GObject):300(4)
[Utility::Format]System.Void ShopMainView::UpdateView():257(4)
[Utility::Format]System.Void ShopMainView::UpdateView():260(3)
[Utility::Format]System.Void ShopMainView::Update():425(4)
[Utility::Format]System.Void ShopMainView::Update():428(3)
[String::Concat]System.Void ShopMainView::freshCellTime(FairyGUI.GObject,System.Int64):468(4)
[String::Concat]System.Void ShopMainView::freshCellTime(FairyGUI.GObject,System.Int64):471(3)
[String::Concat]System.Void ShowOtherPlayerInfoView::UpdatePlayerProperty():226(1)
[String::Concat][System.Int32]System.Void StoryQTEView::SetParameters():106(1)
[String::Concat][System.Int32]System.Void StoryQTEView::SetParameters():107(1)
[String::Concat][System.Int32]System.Void StoryQTEView::SetParameters(TableConfig.Qte):189(1)
[String::Concat][System.Int32]System.Void StoryQTEView::SetParameters(TableConfig.Qte):190(1)
[String::Concat][System.Int32]System.Void TeamMyTeamView::UpdateTargetActivity():84(1)
[String::Concat][System.Int32]System.Void TeamMyTeamView::UpdateTargetActivity():86(1)
[FairyGUI.GObject::data][System.Int32]System.Void TeamSetTargetView::UpdateRight(System.String):318(1)
[Utility::Format][System.Int32]System.Void Tip0005View::OnWordsChanged(FairyGUI.EventContext):55(2)
[Utility::Format][System.Int32]System.Void Tip0005View::setData():68(2)
[String::Concat][System.Int32]System.Void MasterRankView::refreshCurrentPage():417(1)
[String::Concat][System.Int32]System.Void MasterRankView::refreshCurrentPage():421(2)
[Utility::Format][System.Int32]System.Void TipSsView::Update():60(1)
[none]System.Void TipZhouliView::OnInit():40(1)
[none]System.Int32 TipZhouliView::GetWeekFromOpenServer(System.DateTime,System.DateTime):58(2)
[none]System.Int32 TipZhouliView::GetWeekFromOpenServer(System.DateTime,System.DateTime):61(2)
[Utility::Format][System.Int32]System.Void BattleView::StartupFGUI():106(2)
[String::Concat][System.Int32]System.Void BattleView::StartupFGUI():112(1)
[none]System.Void BattleView::SetSkillBtnSkillAndIcon(System.Int32,System.Int32):929(2)
[LogSystem]System.Void BattleView::onSkillButtonAction(System.Int32,BattleView/PressState,UnityEngine.Vector2):1163(4)
[LogSystem]System.Void BattleView::onSkillButtonAction(System.Int32,BattleView/PressState,UnityEngine.Vector2):1199(2)
[LogSystem]System.Void BattleView::ShowRangeOnButton(System.Int32,UnityEngine.Vector2):1256(1)
[LogSystem][System.Int32]System.Void BattleView::SetSkillButtonCD(System.Int32,System.Single):1734(1)
[LogSystem][System.Int32]System.Void BattleView::SetSkillButtonCDWithId(System.Int32,System.Single):1753(1)
[LogSystem][System.Int32]System.Void BattleView::SetChainSkillNew(System.Int32,System.Int32,System.Int32):1788(1)
[LogSystem][System.Int32]System.Void BattleView::SetChainSkillReset(System.Int32,System.Int32):1807(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():221(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():224(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():227(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():230(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():233(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():236(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():239(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():242(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():245(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::StartupFGUI():248(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::UpdateTodoList(FairyGUI.GList):845(1)
[FairyGUI.GObject::data][System.Int32]System.Void HomeButtonView::UpdateGUI():1221(1)
[String::Concat][System.Int32]System.Void TouxianTishengTipView::StartupFGUI():61(1)
[String::Concat][System.Int32]System.Void TouxianTishengTipView::GoToActivity():126(1)
[LogSystem]System.Void XiakeDialogView::UpdateDialog(System.Byte,IntList):81(2)
[LogSystem]System.Void XiakeDialogView::OnDialogReturning(System.Byte,System.Byte):92(2)
[String::Concat][System.Int32]System.Void XiakeDzMain03View::OnActionListRender(System.Int32,FairyGUI.GObject):123(1)
[FairyGUI.GObject::data][System.Int32]System.Void XiakeDzMain03View::OnActionListRender(System.Int32,FairyGUI.GObject):137(1)
[FairyGUI.GObject::data][System.Int32]System.Void XiakeDzMain03View::OnActionListRender(System.Int32,FairyGUI.GObject):142(1)
[String::Concat][System.Int32]System.Void XiakeDzMain03View::OnActionItemClicked(FairyGUI.EventContext):171(1)
[none]System.Void XiakeDzMain03View::OnActionItemClicked(FairyGUI.EventContext):184(1)
[String::Concat][System.Int32]System.Void XiakeDzMain03View::OnActionItemClicked(FairyGUI.EventContext):194(1)
[none]System.Void XiakeDzMain03View::OnActionItemClicked(FairyGUI.EventContext):195(1)
[Utility::Format][System.Int32]System.Void XiakeGiftMainView::OnShowGiftTip(FGItemIconViewModel):276(1)
[String::Concat][System.Int32]System.Void GiftShuGroup::setData():200(1)
[String::Concat][System.Int32]System.Void XiakeMain01View::setData():231(2)
[FairyGUI.GObject::data][System.Int32]System.Void XiakeMain01View::OnXiakeListRender(System.Int32,FairyGUI.GObject):345(1)
[String::Concat][System.Int32]System.Void XiakeItemView::setData(XiakeFullInfo):914(1)
[String::Concat]System.Void XiakeItemView::setData(XiakeFullInfo):968(1)
[FairyGUI.GObject::data][System.Int32]System.Void YishiBuyMainView::UpdateFenleiList():160(1)
[FairyGUI.GObject::data][System.Int32]System.Void YishiBuyMainView::UpdateGoodsList(MessageDefine.QSCMD_MARKET_LISTSC):245(1)
[String::Concat][System.Int32]System.Void YishiBuyMainView::UpdateGoodsList(MessageDefine.QSCMD_MARKET_LISTSC):258(2)
[FairyGUI.GObject::data][System.Int32]System.Void YishiBuyMainView::UpdateShoucangList(MessageDefine.QSCMD_MARKET_USERSC):273(1)
[String::Concat][System.Int32]System.Void YishiBuyMainView::UpdateShoucangList(MessageDefine.QSCMD_MARKET_USERSC):286(2)
[String::Concat]System.Void YishiFreeSellView::SetData(TableConfig.MarketGoods,System.Int32,System.Int32,System.Int32):155(1)
[FairyGUI.GObject::data][System.Int32]System.Void YishiGongshiMainView::UpdateFenleiList():167(1)
[String::Concat][System.Int32]System.Void YishiGongshiMainView::UpdateGoodsList(MessageDefine.QSCMD_MARKET_LISTSC):259(2)
[FairyGUI.GObject::data][System.Int32]System.Void YishiGongshiMainView::UpdateShoucangList(MessageDefine.QSCMD_MARKET_USERSC):279(1)
[String::Concat][System.Int32]System.Void YishiGongshiMainView::UpdateShoucangList(MessageDefine.QSCMD_MARKET_USERSC):289(2)
[Utility::Format][System.Int32]System.Void YishiGongshiMainView::UpdateLeftTime(System.Object):304(3)
[Utility::Format][System.Int32]System.Void YishiGoodsOperView::UpdateLeftTime(System.Object):148(3)
[String::Concat]System.Void YishiStandardSellView::SetData(TableConfig.MarketGoods,System.Int32,System.Int32,System.Int32):183(1)
[String::Concat]System.Void YishiTanweiMainView::UpdatePetList():174(1)
[Utility::Format][System.Int32]System.Void YueLiView::StartupFGUI():50(1)
[FairyGUI.GObject::data][System.Int32]System.Void YueLiView::StartupFGUI():54(1)
[Utility::Format][System.Int32]System.Void YueLiView::OnRefreshYueLi(MessageDefine.QSCMD_LOGIN_GIFT_INFOSC):69(1)
[Utility::Format]System.Void YueLiView::RefreshTimesAndScore():86(2)
[FairyGUI.GObject::data][System.Int32]System.Void YueLiView::RefreshYuepuList():111(1)
[none]System.Void ZaixianjlView::OnCloseCallback():129(1)
[String::Concat][System.Int32]System.Void ZbrlRootView::_showBaseExpProgress():610(1)
[String::Concat][System.Int32]System.Void ZbrlRootView::freshCurrentLevel(System.Boolean,System.Boolean):700(1)
[String::Concat][System.Int32]System.Void ZbrlRootView::freshCurrentLevel(System.Boolean,System.Boolean):712(1)
[String::Concat][System.Int32]System.Void ZbrlRootView::<freshCurrentLevel>b__71_0():723(1)
[String::Concat][System.Int32]System.Void ZbrlShuxingjhListView::setData(System.Int32):1757(1)
[FairyGUI.GObject::data][System.Int32]System.Void YishuicanhongView::UpdateFragments():109(1)
[Utility::Format][System.Int32]System.Void YishuicanhongView::UpdateFragments():257(1)
[LogSystem]System.Single AutoRunTest::OperateActivity(System.Single):327(1)
[LogSystem][System.Int32]System.Single AutoRunTest::OperateGuid(System.Single):474(2)
[LogSystem][System.Int32]System.Single AutoRunTest::OperateGuid(System.Single):478(1)
[LogSystem][System.Int32]System.Single AutoRunTest::OperateGuid(System.Single):577(2)
[none]T Cs2LuaObjectPool`1::Alloc():27(1)
[none]T Cs2LuaObjectPoolEx`1::Alloc(System.Func`1<T>):74(1)
[none]System.Void Cs2LuaSimpleObjectPool`1::Recycle(T):24(1)
[none]System.Void Cs2LuaSimpleObjectPoolEx`1::Recycle(T):61(1)
[LogSystem][System.Int32]System.Void MoveController::FlashMoveXunLu(MessageDefine.QSCMD_FLASHMOVESC):326(1)
[LogSystem]System.Void MoveController::Handle_QSCMD_MOVELINE(System.Object):794(1)
[String::Concat]System.Void MoveController::HandleSwimRun(CsLibrary.EntityInfo,MessageDefine.QSCMD_MOVELINESC):857(1)
[Utility::Format]System.String ClientMissionItem::get_tutorInfo():222(1)
[Utility::Format][System.Int32]System.String ClientMissionItem::get_ProgressText():242(1)
[String::Concat][System.Int32]System.String ClientMissionItem::TargetTipText(System.UInt32,System.UInt32):287(2)
[LogSystem]System.Void MissionMessageHandler::Handle_QSCMD_MISSION_ACCEPT(System.Object):132(1)
[none]System.Void MissionMessageHandler::Handle_QSCMD_MISSION_ACCEPT(System.Object):142(1)
[LogSystem]System.Void MissionMessageHandler::Handle_QSCMD_MISSION_SUBMIT(System.Object):197(1)
[String::Concat]System.Void MissionManager::RefreshMissionTutorList(ClientMissionItem):218(1)
[Utility::Format][System.Int32]System.Void MissionManager::RefreshMissionTutorList(ClientMissionItem):247(1)
[String::Concat]System.Void MissionManager::RefreshMissionTutorList(ClientMissionItem):248(1)
[String::Concat]System.Void MissionManager::RefreshMissionTutorList(ClientMissionItem):259(1)
[String::Concat][System.Int32]System.Void MissionManager::RemoveMissionTutor(System.Int32):291(1)
[LogSystem]System.Boolean MissionManager::TryToMoveToMissionTarget(ClientMissionItem):499(1)
[String::Concat]System.Void MissionManager::OnMissageButton(FairyGUI.EventContext):752(1)
[Utility::Format][System.Int32]System.Void MissionManager::OnTreeClickNode(FairyGUI.TreeNode):993(1)
[StoryValueResult::set_Value]System.Void AiIsPlayerInView::Evaluate(StorySystem.StoryInstance,StorySystem.StoryValueParams):40(1)
[StoryValueResult::set_Value]System.Void AiIsPlayerInView::Evaluate(StorySystem.StoryInstance,StorySystem.StoryValueParams):45(1)
[Utility::Format][System.Int32]System.Void CopyController::QSCMD_SCENE_COUNTDOWN_Handler(System.Object):96(1)
[LogSystem][System.Int32]System.Void MissionMainView::OnRewardMoneyListRender(System.Int32,FairyGUI.GObject):128(1)
[Utility::Format][System.Int32]System.Void JianWenMainView::OnTreeNodeRender(FairyGUI.TreeNode):63(1)
[none]System.Void HuanYinMainView::OnClose():154(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::SetTitle():201(1)
[String::Concat][System.Int32]System.Void HuanYinMainView::UpdateGUI():471(1)
[Utility::Format][System.Int32]System.Void HuanYinWinView::UpdateGUI():41(1)
[Utility::Format][System.Int32]System.Void HuanYinLoseView::UpdateGUI():79(1)
[FairyGUI.GObject::data][System.Int32]System.Void ActivityOperationView::UpdateBtns():76(1)
[FairyGUI.GObject::data][System.Int32]System.Void ActivityOperationView::UpdateBtns():88(1)
[FairyGUI.GObject::data][System.Int32]System.Void ActivityOperationView::ShowDescriptionBySubActId(System.Int32):127(1)
View::ShowDescriptionBySubActId(System.Int32):127(1)
stMall_Item,FairyGUI.EventCallback0,System.Boolean):166(1)
[String::Concat][System.Int32]System.Void Cs2LuaScript.GoodsItemView::SetGoodsTime():209(2)
[String::Concat][System.Int32]System.Void Cs2LuaScript.GoodsItemView::SetGoodsTime():214(3)
[LogSystem]System.Single Cs2LuaScript.AutoRunTest::OperateActivity(System.Single):330(1)
[LogSystem][System.Int32]System.Single Cs2LuaScript.AutoRunTest::OperateGuid(System.Single):477(2)
[LogSystem][System.Int32]System.Single Cs2LuaScript.AutoRunTest::OperateGuid(System.Single):481(1)
[LogSystem][System.Int32]System.Single Cs2LuaScript.AutoRunTest::OperateGuid(System.Single):580(2)
[LogSystem][System.Int32]System.Void Cs2LuaScript.MoveController::FlashMoveXunLu(MessageDefine.QSCMD_FLASHMOVESC):329(1)
[LogSystem]System.Void Cs2LuaScript.MoveController::Handle_QSCMD_MOVELINE(System.Object):796(1)
[String::Concat]System.Void Cs2LuaScript.MoveController::HandleSwimRun(CsLibrary.EntityInfo,MessageDefine.QSCMD_MOVELINESC):859(1)
[LogSystem]System.Void Cs2LuaScript.MissionMessageHandler::Handle_QSCMD_MISSION_ACCEPT(System.Object):135(1)
[none]System.Void Cs2LuaScript.MissionMessageHandler::Handle_QSCMD_MISSION_ACCEPT(System.Object):145(1)
[LogSystem]System.Void Cs2LuaScript.MissionMessageHandler::Handle_QSCMD_MISSION_SUBMIT(System.Object):200(1)
[String::Concat]System.Void Cs2LuaScript.MissionManager::RefreshMissionTutorList(ClientMissionItem):221(1)
[Utility::Format][System.Int32]System.Void Cs2LuaScript.MissionManager::RefreshMissionTutorList(ClientMissionItem):250(1)
[String::Concat]System.Void Cs2LuaScript.MissionManager::RefreshMissionTutorList(ClientMissionItem):251(1)
[String::Concat]System.Void Cs2LuaScript.MissionManager::RefreshMissionTutorList(ClientMissionItem):262(1)
[String::Concat][System.Int32]System.Void Cs2LuaScript.MissionManager::RemoveMissionTutor(System.Int32):294(1)
[LogSystem]System.Boolean Cs2LuaScript.MissionManager::TryToMoveToMissionTarget(ClientMissionItem):502(1)
[String::Concat]System.Void Cs2LuaScript.MissionManager::OnMissageButton(FairyGUI.EventContext):755(1)
[Utility::Format][System.Int32]System.Void Cs2LuaScript.MissionManager::OnTreeClickNode(FairyGUI.TreeNode):996(1)
[Utility::Format][System.Int32]System.Void Cs2LuaScript.CopyController::QSCMD_SCENE_COUNTDOWN_Handler(System.Object):100(1)
